title, description, link, pubDate
"G20 in final push to reach deal on climate at Rome summit", "The leaders of the world's richest economies are looking for an agreement ahead of COP26.", "https://www.bbc.co.uk/news/world-59109186?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 10:52:59 GMT"
"'I feel free' - LGBT Afghan refugees arrive in UK", "The BBC speaks to one of 29 LGBT refugees who fled the Taliban, fearing for their lives.", "https://www.bbc.co.uk/news/world-asia-59102411?at_medium=RSS&amp;at_campaign=KARANGA", "Sat, 30 Oct 2021 15:51:35 GMT"
"Sudan coup: Three killed in protests against military takeover", "Activists say security forces fired live rounds and tear gas at crowds, injuring around 100 people.", "https://www.bbc.co.uk/news/world-africa-59103901?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 00:13:21 GMT"
"Yemen: Nine killed in Aden airport car bomb", "The attack near Aden's airport is the deadliest to strike the temporary capital since last year.", "https://www.bbc.co.uk/news/world-middle-east-59109560?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 11:24:47 GMT"
"Man dies during bull-running event in Spanish city of Onda", "Authorities said the man suffered a head wound and had an artery punctured in his thigh by the bull.", "https://www.bbc.co.uk/news/world-europe-59103659?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 12:23:29 GMT"
"'Father of tiramisu' Ado Campeol dies aged 93", "Campeol owned a restaurant in Italy where the dessert was invented by his wife and a pastry chef.", "https://www.bbc.co.uk/news/world-europe-59103658?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 10:12:06 GMT"
"Israeli woman jailed three times for refusing to join the army", "Most Jewish Israelis do military service. But a small number, like Shahar, take an ideological stance.", "https://www.bbc.co.uk/news/world-middle-east-59084408?at_medium=RSS&amp;at_campaign=KARANGA", "Sat, 30 Oct 2021 23:01:17 GMT"
"Alec Baldwin makes first public comments on 'one in a trillion' shooting", "In his first public comments, the actor says the cinematographer he accidentally shot was his friend.", "https://www.bbc.co.uk/news/world-us-canada-59107040?at_medium=RSS&amp;at_campaign=KARANGA", "Sat, 30 Oct 2021 23:07:23 GMT"
"Saudi Arabia expels Lebanon ambassador amid Yemen row", "The UAE, Kuwait and Bahrain also take diplomatic action in solidarity with the Saudis.", "https://www.bbc.co.uk/news/world-middle-east-59096578?at_medium=RSS&amp;at_campaign=KARANGA", "Sat, 30 Oct 2021 21:01:49 GMT"
"ICYMI: A baby rhino and million dollar trainers", "A roundup of stories you might have missed this week, including a hoverbike and million dollar trainers.", "https://www.bbc.co.uk/news/world-59087311?at_medium=RSS&amp;at_campaign=KARANGA", "Sun, 31 Oct 2021 11:51:12 GMT"
